Fecha,Producto,Cantidad,Precio Unitario,Total
2024-01-16,Producto A,15,84.73,1270.95
2024-01-16,Producto A,3,13.43,40.29
2024-01-09,Producto A,15,57.89,868.35
2024-01-28,Producto D,3,85.76,257.28000000000003
2024-03-07,Producto B,5,21.97,109.85
2024-03-21,Producto C,20,90.32,1806.3999999999999
2024-01-28,Producto E,16,13.22,211.52
2024-03-01,Producto B,10,16.31,163.1
2024-01-14,Producto C,20,91.98,1839.6000000000001
2024-01-07,Producto A,6,10.28,61.67999999999999
2024-03-06,Producto E,7,82.41,576.87
2024-03-22,Producto B,20,35.3,706.0
2024-02-08,Producto E,4,67.43,269.72
2024-01-05,Producto A,2,83.22,166.44
2024-01-16,Producto A,13,38.09,495.1700000000001
2024-02-13,Producto B,8,44.34,354.72
2024-03-30,Producto C,14,94.99,1329.86
2024-02-07,Producto C,6,36.5,219.0
2024-02-08,Producto B,2,56.91,113.82
2024-02-11,Producto C,19,65.9,1252.1000000000001
2024-01-22,Producto C,19,96.26,1828.94
2024-01-14,Producto D,11,78.51,863.61
2024-04-09,Producto D,9,35.28,317.52
2024-01-25,Producto A,17,26.88,456.96
2024-04-01,Producto E,20,30.14,602.8
2024-02-10,Producto D,1,24.8,24.8
2024-03-16,Producto A,5,11.63,58.150000000000006
2024-03-20,Producto B,15,48.3,724.5
2024-01-07,Producto C,17,60.05,1020.8499999999999
2024-03-11,Producto A,10,62.44,624.4
2024-03-19,Producto C,13,18.21,236.73000000000002
2024-03-29,Producto B,17,44.14,750.38
2024-02-17,Producto C,8,11.66,93.28
2024-04-02,Producto D,4,48.07,192.28
2024-01-03,Producto D,16,35.95,575.2
2024-02-15,Producto D,11,98.64,1085.04
2024-03-30,Producto C,20,87.66,1753.1999999999998
2024-01-05,Producto A,11,35.42,389.62
2024-03-11,Producto B,1,37.18,37.18
2024-03-13,Producto A,7,99.51,696.57
2024-02-26,Producto B,10,77.58,775.8
2024-01-18,Producto C,1,67.04,67.04
2024-03-25,Producto E,1,63.1,63.1
2024-03-12,Producto E,6,34.94,209.64
2024-01-17,Producto D,18,95.13,1712.34
2024-03-17,Producto C,19,17.37,330.03000000000003
2024-01-13,Producto A,3,74.58,223.74
2024-03-17,Producto E,19,82.03,1558.57
2024-01-07,Producto C,8,60.71,485.68
2024-04-01,Producto D,13,91.77,1193.01
2024-03-14,Producto D,16,29.0,464.0
2024-02-01,Producto D,8,76.39,611.12
2024-03-25,Producto E,12,42.19,506.28
2024-02-14,Producto D,2,98.08,196.16
2024-01-18,Producto C,3,89.02,267.06
2024-01-15,Producto D,15,73.18,1097.7
2024-02-08,Producto B,13,34.1,443.3
2024-02-07,Producto E,7,48.26,337.82
2024-04-02,Producto C,15,89.64,1344.6
2024-04-03,Producto C,14,51.62,722.68
2024-02-16,Producto C,20,48.58,971.5999999999999
2024-03-01,Producto D,19,62.9,1195.1
2024-02-04,Producto B,1,18.81,18.81
2024-02-13,Producto A,5,64.55,322.75
2024-03-04,Producto A,3,78.45,235.35000000000002
2024-01-26,Producto B,3,88.43,265.29
2024-01-16,Producto A,16,52.36,837.76
2024-03-06,Producto E,4,15.03,60.12
2024-03-08,Producto B,11,41.29,454.19
2024-04-09,Producto D,1,42.6,42.6
2024-02-23,Producto E,19,32.36,614.84
2024-03-11,Producto C,1,25.53,25.53
2024-02-28,Producto B,10,51.75,517.5
2024-02-18,Producto C,11,14.47,159.17000000000002
2024-02-23,Producto E,3,95.16,285.48
2024-04-02,Producto D,11,15.78,173.57999999999998
2024-01-07,Producto A,15,16.84,252.6
2024-04-03,Producto C,16,88.79,1420.64
2024-01-04,Producto B,3,33.79,101.37
2024-02-23,Producto C,7,12.79,89.53
2024-01-30,Producto B,3,79.1,237.29999999999998
2024-01-09,Producto D,12,58.15,697.8
2024-03-30,Producto A,16,89.12,1425.92
2024-01-22,Producto D,19,82.3,1563.7
2024-01-30,Producto E,5,53.72,268.6
2024-01-06,Producto D,20,26.68,533.6
2024-02-17,Producto B,18,91.56,1648.08
2024-01-13,Producto A,19,21.26,403.94000000000005
2024-03-26,Producto A,4,67.95,271.8
2024-01-03,Producto B,17,23.86,405.62
2024-01-19,Producto B,16,47.58,761.28
2024-01-21,Producto C,7,11.69,81.83
2024-03-10,Producto A,4,52.08,208.32
2024-03-30,Producto A,12,35.32,423.84000000000003
2024-02-21,Producto E,5,21.26,106.30000000000001
2024-01-10,Producto D,8,11.18,89.44
2024-01-20,Producto D,6,79.64,477.84000000000003
2024-03-16,Producto E,18,22.13,398.34
2024-01-21,Producto B,3,55.43,166.29
2024-02-14,Producto D,8,61.45,491.6
