Fecha,Producto,Cantidad,Precio Unitario,Total
2024-02-19,Producto D,17,17.82,302.94
2024-03-01,Producto E,9,14.57,131.13
2024-03-24,Producto C,6,47.78,286.68
2024-03-17,Producto C,16,82.35,1317.6
2024-03-04,Producto E,16,39.21,627.36
2024-03-18,Producto E,6,88.62,531.72
2024-02-15,Producto D,17,38.17,648.89
2024-04-01,Producto E,3,85.09,255.27
2024-02-02,Producto E,6,45.67,274.02
2024-02-19,Producto D,14,88.54,1239.5600000000002
2024-03-21,Producto C,1,11.1,11.1
2024-04-02,Producto D,3,21.17,63.510000000000005
2024-03-17,Producto E,7,99.34,695.38
2024-02-01,Producto C,14,65.74,920.3599999999999
2024-04-05,Producto B,5,46.45,232.25
2024-02-11,Producto B,15,51.14,767.1
2024-02-05,Producto B,6,31.3,187.8
2024-02-07,Producto A,10,21.53,215.3
2024-04-05,Producto E,4,80.24,320.96
2024-02-22,Producto C,1,68.53,68.53
2024-01-07,Producto A,16,75.97,1215.52
2024-03-08,Producto A,10,73.46,734.5999999999999
2024-01-28,Producto D,7,56.47,395.28999999999996
2024-02-16,Producto B,6,64.61,387.65999999999997
2024-01-21,Producto E,3,80.6,241.79999999999998
2024-03-23,Producto B,7,41.96,293.72
2024-03-31,Producto E,10,65.31,653.1
2024-03-21,Producto C,8,86.04,688.32
2024-02-24,Producto E,7,20.73,145.11
2024-03-24,Producto B,4,85.14,340.56
2024-02-22,Producto B,15,91.11,1366.65
2024-01-03,Producto D,10,96.46,964.5999999999999
2024-01-05,Producto D,12,93.81,1125.72
2024-01-31,Producto B,3,25.94,77.82000000000001
2024-01-08,Producto B,6,12.3,73.80000000000001
2024-03-28,Producto E,2,36.96,73.92
2024-02-16,Producto D,11,63.59,699.49
2024-01-16,Producto A,13,62.46,811.98
2024-03-28,Producto D,18,29.64,533.52
2024-02-26,Producto A,16,35.94,575.04
2024-02-01,Producto C,10,52.51,525.1
2024-01-05,Producto E,10,39.79,397.9
2024-01-25,Producto B,10,90.93,909.3000000000001
2024-03-02,Producto C,9,17.68,159.12
2024-03-16,Producto D,12,67.21,806.52
2024-01-09,Producto B,14,31.38,439.32
2024-02-05,Producto E,4,73.62,294.48
2024-03-19,Producto B,18,20.77,373.86
2024-01-01,Producto B,17,54.01,918.17
2024-01-03,Producto A,14,50.75,710.5
2024-03-11,Producto A,14,25.02,350.28
2024-01-09,Producto D,9,97.6,878.4
2024-02-02,Producto D,7,73.74,516.18
2024-01-02,Producto D,3,67.55,202.64999999999998
2024-01-07,Producto A,8,52.48,419.84
2024-04-07,Producto C,2,83.6,167.2
2024-01-12,Producto E,18,33.41,601.3799999999999
2024-01-09,Producto A,13,73.26,952.3800000000001
2024-04-06,Producto C,6,11.46,68.76
2024-04-09,Producto D,13,37.82,491.66
2024-01-28,Producto B,2,60.79,121.58
2024-03-02,Producto E,20,20.5,410.0
2024-03-22,Producto B,16,99.25,1588.0
2024-03-01,Producto C,6,70.61,423.65999999999997
2024-02-28,Producto A,12,95.52,1146.24
2024-04-07,Producto B,1,81.13,81.13
2024-02-11,Producto E,20,89.67,1793.4
2024-01-27,Producto A,11,69.29,762.19
2024-02-16,Producto D,16,42.66,682.56
2024-02-11,Producto B,10,88.69,886.9
2024-02-11,Producto C,18,44.81,806.58
2024-01-14,Producto B,13,74.19,964.47
2024-03-23,Producto C,19,63.5,1206.5
2024-03-12,Producto E,3,18.99,56.97
2024-03-04,Producto B,2,84.73,169.46
2024-01-12,Producto D,11,52.29,575.1899999999999
2024-01-22,Producto B,18,40.25,724.5
2024-01-07,Producto D,5,27.88,139.4
2024-04-08,Producto B,20,20.17,403.40000000000003
2024-01-16,Producto B,1,24.83,24.83
2024-01-17,Producto A,19,34.72,659.68
2024-02-04,Producto C,11,16.81,184.91
2024-03-30,Producto A,11,82.77,910.4699999999999
2024-03-10,Producto D,9,28.12,253.08
2024-01-05,Producto B,17,17.34,294.78
2024-01-05,Producto B,1,48.86,48.86
2024-03-31,Producto E,11,31.83,350.13
2024-01-26,Producto E,18,82.03,1476.54
2024-02-27,Producto B,14,52.06,728.84
2024-02-10,Producto E,10,46.98,469.79999999999995
2024-03-14,Producto C,10,20.93,209.3
2024-03-11,Producto D,18,32.88,591.84
2024-01-23,Producto C,9,39.7,357.3
2024-02-27,Producto E,4,31.53,126.12
2024-02-16,Producto B,7,94.97,664.79
2024-03-07,Producto E,3,10.09,30.27
2024-01-23,Producto A,6,59.2,355.20000000000005
2024-01-16,Producto A,19,10.23,194.37
2024-03-06,Producto A,7,55.57,388.99
2024-02-04,Producto E,1,15.96,15.96
