Fecha,Producto,Cantidad,Precio Unitario,Total
2024-01-20,Producto A,6,16.48,98.88
2024-01-17,Producto B,2,64.9,129.8
2024-01-10,Producto A,10,43.7,437.0
2024-03-19,Producto B,16,76.77,1228.32
2024-01-31,Producto A,12,11.6,139.2
2024-01-10,Producto E,8,83.75,670.0
2024-01-26,Producto A,10,78.3,783.0
2024-03-06,Producto D,18,11.24,202.32
2024-03-19,Producto B,7,37.72,264.03999999999996
2024-03-17,Producto C,10,17.45,174.5
2024-04-04,Producto E,19,39.4,748.6
2024-01-04,Producto A,19,28.22,536.18
2024-03-13,Producto D,12,90.17,1082.04
2024-01-10,Producto C,19,99.86,1897.34
2024-02-21,Producto D,19,97.6,1854.3999999999999
2024-03-29,Producto A,6,29.56,177.35999999999999
2024-03-12,Producto E,9,81.23,731.07
2024-03-19,Producto A,14,70.05,980.6999999999999
2024-04-06,Producto E,9,65.8,592.1999999999999
2024-01-05,Producto C,3,17.16,51.480000000000004
2024-01-10,Producto E,1,73.72,73.72
2024-01-03,Producto C,15,34.1,511.5
2024-01-31,Producto D,4,94.73,378.92
2024-03-28,Producto D,7,63.98,447.85999999999996
2024-03-19,Producto A,18,96.55,1737.8999999999999
2024-03-30,Producto A,8,76.58,612.64
2024-04-04,Producto B,6,97.27,583.62
2024-01-05,Producto A,14,70.04,980.5600000000001
2024-02-15,Producto E,19,45.35,861.65
2024-01-19,Producto E,9,63.86,574.74
2024-01-02,Producto C,20,92.03,1840.6
2024-03-13,Producto D,6,13.07,78.42
2024-03-11,Producto B,8,23.95,191.6
2024-01-29,Producto D,3,49.86,149.57999999999998
2024-01-27,Producto C,8,74.97,599.76
2024-03-03,Producto B,19,44.87,852.53
2024-03-17,Producto D,3,24.91,74.73
2024-04-06,Producto C,11,81.17,892.87
2024-01-11,Producto D,14,27.54,385.56
2024-04-07,Producto C,10,57.95,579.5
2024-04-02,Producto B,16,90.41,1446.56
2024-03-17,Producto A,20,62.92,1258.4
2024-03-14,Producto B,11,50.13,551.4300000000001
2024-03-10,Producto B,3,43.53,130.59
2024-02-04,Producto A,1,84.84,84.84
2024-01-27,Producto E,17,20.0,340.0
2024-03-25,Producto A,9,58.23,524.0699999999999
2024-02-29,Producto C,13,26.94,350.22
2024-01-14,Producto E,3,30.76,92.28
2024-01-11,Producto B,19,90.59,1721.21
2024-02-24,Producto A,15,84.26,1263.9
2024-01-06,Producto A,10,46.5,465.0
2024-01-07,Producto D,6,89.72,538.3199999999999
2024-04-06,Producto E,11,15.84,174.24
2024-03-24,Producto B,18,12.06,217.08
2024-03-27,Producto E,14,31.72,444.08
2024-02-06,Producto D,16,12.01,192.16
2024-01-01,Producto C,12,55.22,662.64
2024-01-18,Producto D,13,21.65,281.45
2024-01-15,Producto D,19,68.96,1310.2399999999998
2024-02-09,Producto E,12,24.86,298.32
2024-03-02,Producto B,19,79.73,1514.8700000000001
2024-01-30,Producto B,15,41.55,623.25
2024-02-12,Producto E,18,57.97,1043.46
2024-02-04,Producto B,7,47.29,331.03
2024-01-04,Producto D,1,61.57,61.57
2024-02-14,Producto E,20,47.67,953.4000000000001
2024-02-10,Producto C,9,21.55,193.95000000000002
2024-01-27,Producto D,13,91.68,1191.8400000000001
2024-02-28,Producto D,13,34.02,442.26000000000005
2024-02-09,Producto C,2,60.66,121.32
2024-01-04,Producto E,18,45.41,817.3799999999999
2024-02-03,Producto A,20,84.92,1698.4
2024-01-05,Producto B,7,71.74,502.17999999999995
2024-03-30,Producto E,11,69.66,766.26
2024-01-05,Producto D,17,41.83,711.11
2024-03-16,Producto C,4,79.67,318.68
2024-03-06,Producto E,14,74.76,1046.64
2024-03-25,Producto E,7,85.85,600.9499999999999
2024-01-01,Producto C,12,46.6,559.2
2024-03-15,Producto A,4,46.32,185.28
2024-01-24,Producto D,17,92.12,1566.04
2024-03-19,Producto B,4,87.36,349.44
2024-03-22,Producto E,4,21.8,87.2
2024-03-18,Producto C,8,29.76,238.08
2024-01-07,Producto C,3,75.26,225.78000000000003
2024-03-14,Producto D,9,22.68,204.12
2024-01-07,Producto C,9,20.94,188.46
2024-02-25,Producto C,4,63.44,253.76
2024-01-24,Producto A,11,21.7,238.7
2024-01-12,Producto B,10,42.33,423.29999999999995
2024-01-06,Producto C,17,39.87,677.79
2024-02-08,Producto A,2,38.41,76.82
2024-04-02,Producto A,2,42.75,85.5
2024-03-03,Producto C,1,94.7,94.7
2024-02-22,Producto A,2,51.95,103.9
2024-01-29,Producto A,1,11.7,11.7
2024-03-28,Producto A,20,64.05,1281.0
2024-01-17,Producto A,19,80.13,1522.4699999999998
2024-03-23,Producto A,16,30.23,483.68
