Fecha,Producto,Cantidad,Precio Unitario,Total
2024-01-01,Producto D,3,46.95,140.85000000000002
2024-03-26,Producto E,10,90.25,902.5
2024-03-25,Producto C,16,72.89,1166.24
2024-01-20,Producto E,14,69.22,969.0799999999999
2024-01-29,Producto A,7,52.52,367.64000000000004
2024-03-17,Producto B,3,40.2,120.60000000000001
2024-03-17,Producto B,14,63.06,882.84
2024-02-19,Producto A,20,83.12,1662.4
2024-01-11,Producto B,12,55.83,669.96
2024-01-14,Producto D,8,40.38,323.04
2024-02-22,Producto B,11,86.47,951.17
2024-02-25,Producto E,4,56.32,225.28
2024-01-28,Producto A,15,57.48,862.1999999999999
2024-02-06,Producto E,12,32.13,385.56000000000006
2024-03-19,Producto C,17,58.68,997.56
2024-03-15,Producto C,16,88.8,1420.8
2024-01-16,Producto B,16,69.39,1110.24
2024-04-07,Producto B,19,48.17,915.23
2024-02-06,Producto B,2,23.56,47.12
2024-03-08,Producto A,4,88.15,352.6
2024-02-01,Producto C,15,45.9,688.5
2024-02-11,Producto A,6,18.87,113.22
2024-02-06,Producto E,16,45.28,724.48
2024-02-15,Producto C,6,48.16,288.96
2024-01-29,Producto E,14,92.49,1294.86
2024-03-16,Producto E,19,85.27,1620.1299999999999
2024-03-21,Producto A,4,96.78,387.12
2024-01-30,Producto A,12,25.94,311.28000000000003
2024-02-10,Producto D,20,57.51,1150.2
2024-04-03,Producto B,16,97.03,1552.48
2024-03-28,Producto C,2,89.55,179.1
2024-03-27,Producto A,10,45.45,454.5
2024-02-25,Producto E,8,60.58,484.64
2024-02-15,Producto A,8,13.92,111.36
2024-04-03,Producto D,17,87.65,1490.0500000000002
2024-01-26,Producto D,3,21.6,64.80000000000001
2024-04-04,Producto D,1,58.01,58.01
2024-02-29,Producto A,16,36.08,577.28
2024-04-08,Producto B,16,34.88,558.08
2024-02-24,Producto E,17,38.99,662.83
2024-03-24,Producto A,12,81.81,981.72
2024-01-21,Producto C,14,76.92,1076.88
2024-02-05,Producto D,5,64.98,324.90000000000003
2024-01-01,Producto C,5,29.77,148.85
2024-03-02,Producto D,2,58.65,117.3
2024-02-29,Producto B,16,70.62,1129.92
2024-01-04,Producto E,13,14.64,190.32
2024-03-31,Producto B,8,19.76,158.08
2024-01-02,Producto E,13,96.55,1255.1499999999999
2024-02-08,Producto D,2,72.37,144.74
2024-01-01,Producto A,2,61.59,123.18
2024-01-31,Producto A,2,26.36,52.72
2024-02-14,Producto D,16,39.16,626.56
2024-03-26,Producto E,7,25.64,179.48000000000002
2024-02-17,Producto E,6,42.49,254.94
2024-01-07,Producto C,8,32.82,262.56
2024-02-17,Producto E,5,84.49,422.45
2024-02-21,Producto D,2,82.17,164.34
2024-04-03,Producto C,14,66.37,929.1800000000001
2024-02-02,Producto A,13,92.15,1197.95
2024-01-22,Producto D,19,58.09,1103.71
2024-01-18,Producto C,8,93.93,751.44
2024-02-16,Producto A,15,38.5,577.5
2024-02-20,Producto E,11,63.57,699.27
2024-02-12,Producto E,6,40.47,242.82
2024-03-14,Producto C,13,82.39,1071.07
2024-02-04,Producto E,9,21.58,194.21999999999997
2024-01-17,Producto E,3,93.84,281.52
2024-03-18,Producto E,19,19.8,376.2
2024-01-21,Producto D,3,47.57,142.71
2024-01-15,Producto E,14,96.5,1351.0
2024-02-12,Producto C,17,22.78,387.26
2024-03-06,Producto D,8,26.43,211.44
2024-01-04,Producto A,18,72.56,1306.08
2024-04-03,Producto A,2,23.5,47.0
2024-03-26,Producto C,1,53.74,53.74
2024-02-11,Producto B,4,26.57,106.28
2024-03-20,Producto E,10,80.02,800.1999999999999
2024-01-10,Producto C,18,79.86,1437.48
2024-02-19,Producto D,14,23.68,331.52
2024-01-20,Producto E,4,56.44,225.76
2024-03-04,Producto A,11,34.97,384.66999999999996
2024-04-06,Producto D,19,70.64,1342.16
2024-03-04,Producto A,9,35.64,320.76
2024-02-06,Producto B,11,57.01,627.11
2024-04-02,Producto A,20,31.99,639.8
2024-01-10,Producto C,18,35.23,634.14
2024-01-28,Producto C,15,37.35,560.25
2024-03-29,Producto B,14,62.97,881.5799999999999
2024-01-16,Producto B,18,84.23,1516.14
2024-04-02,Producto C,20,24.74,494.79999999999995
2024-01-06,Producto E,3,53.45,160.35000000000002
2024-01-23,Producto A,16,88.61,1417.76
2024-04-07,Producto C,1,56.32,56.32
2024-03-10,Producto A,1,94.57,94.57
2024-03-27,Producto C,3,78.33,234.99
2024-02-11,Producto A,10,17.67,176.70000000000002
2024-03-13,Producto A,11,98.41,1082.51
2024-03-12,Producto D,16,49.35,789.6
2024-01-24,Producto B,9,33.13,298.17
