Fecha,Producto,Cantidad,Precio Unitario,Total
2024-04-09,Producto C,5,94.66,473.29999999999995
2024-01-12,Producto E,7,55.96,391.72
2024-01-02,Producto A,19,87.4,1660.6000000000001
2024-03-24,Producto E,15,25.88,388.2
2024-03-24,Producto B,1,77.68,77.68
2024-02-11,Producto B,12,84.31,1011.72
2024-03-06,Producto D,7,56.29,394.03
2024-01-28,Producto E,10,39.87,398.7
2024-02-02,Producto A,14,39.02,546.2800000000001
2024-01-20,Producto C,10,93.87,938.7
2024-03-19,Producto C,6,96.96,581.76
2024-02-09,Producto D,3,45.12,135.35999999999999
2024-01-03,Producto C,8,30.88,247.04
2024-02-18,Producto D,1,26.28,26.28
2024-02-07,Producto D,7,56.51,395.57
2024-02-14,Producto C,12,80.21,962.52
2024-03-09,Producto A,4,67.41,269.64
2024-03-04,Producto B,9,24.14,217.26
2024-04-07,Producto D,15,58.39,875.85
2024-02-14,Producto C,16,16.29,260.64
2024-02-26,Producto B,13,95.28,1238.64
2024-04-02,Producto D,2,98.26,196.52
2024-01-02,Producto C,13,37.02,481.26000000000005
2024-02-20,Producto C,10,26.23,262.3
2024-04-09,Producto D,17,15.21,258.57
2024-01-20,Producto C,7,98.28,687.96
2024-02-13,Producto E,17,18.13,308.21
2024-02-07,Producto E,13,87.45,1136.8500000000001
2024-02-06,Producto E,17,44.91,763.4699999999999
2024-01-27,Producto B,16,41.23,659.68
2024-03-26,Producto E,11,44.19,486.09
2024-03-11,Producto C,12,25.92,311.04
2024-01-09,Producto C,2,28.19,56.38
2024-03-24,Producto C,12,38.2,458.40000000000003
2024-01-28,Producto C,7,73.43,514.01
2024-02-15,Producto A,3,99.09,297.27
2024-03-02,Producto A,18,31.41,565.38
2024-03-13,Producto B,20,60.65,1213.0
2024-03-05,Producto C,16,22.63,362.08
2024-01-14,Producto B,8,29.36,234.88
2024-03-30,Producto D,19,76.77,1458.6299999999999
2024-03-15,Producto D,14,51.94,727.16
2024-03-24,Producto A,11,80.19,882.0899999999999
2024-03-05,Producto E,13,52.9,687.6999999999999
2024-01-04,Producto A,20,22.29,445.79999999999995
2024-01-09,Producto B,10,34.5,345.0
2024-02-16,Producto A,2,55.28,110.56
2024-01-15,Producto B,19,77.19,1466.61
2024-03-18,Producto A,11,78.21,860.31
2024-03-22,Producto D,10,20.66,206.6
2024-02-20,Producto A,12,54.84,658.08
2024-02-01,Producto D,14,28.12,393.68
2024-02-18,Producto D,6,61.33,367.98
2024-03-23,Producto A,12,99.26,1191.1200000000001
2024-01-25,Producto D,5,72.01,360.05
2024-03-22,Producto C,19,50.51,959.6899999999999
2024-01-04,Producto C,16,77.67,1242.72
2024-02-23,Producto A,17,11.97,203.49
2024-01-23,Producto D,15,81.82,1227.3
2024-01-23,Producto B,20,59.34,1186.8000000000002
2024-03-05,Producto D,8,78.16,625.28
2024-04-07,Producto A,9,18.98,170.82
2024-01-05,Producto A,13,60.87,791.31
2024-03-08,Producto C,14,63.2,884.8000000000001
2024-02-29,Producto E,12,12.48,149.76
2024-03-06,Producto D,12,11.53,138.35999999999999
2024-03-05,Producto A,17,88.58,1505.86
2024-03-31,Producto B,1,71.62,71.62
2024-01-08,Producto A,18,98.5,1773.0
2024-02-19,Producto E,10,24.13,241.29999999999998
2024-03-03,Producto D,16,46.63,746.08
2024-03-19,Producto C,12,38.43,461.15999999999997
2024-03-24,Producto D,19,24.15,458.84999999999997
2024-04-05,Producto D,18,82.78,1490.04
2024-02-15,Producto E,10,46.6,466.0
2024-02-02,Producto D,7,90.36,632.52
2024-03-03,Producto C,1,48.37,48.37
2024-01-21,Producto C,4,13.14,52.56
2024-01-14,Producto C,5,17.59,87.95
2024-02-25,Producto A,11,28.28,311.08000000000004
2024-02-22,Producto E,8,68.32,546.56
2024-03-09,Producto D,4,11.2,44.8
2024-03-23,Producto C,14,24.99,349.85999999999996
2024-03-26,Producto C,11,69.52,764.7199999999999
2024-03-13,Producto E,17,70.03,1190.51
2024-03-22,Producto E,5,60.93,304.65
2024-03-13,Producto E,13,93.11,1210.43
2024-03-01,Producto E,7,86.97,608.79
2024-04-04,Producto B,14,63.22,885.0799999999999
2024-01-06,Producto B,12,13.99,167.88
2024-02-29,Producto C,12,87.94,1055.28
2024-03-05,Producto B,4,56.6,226.4
2024-03-24,Producto B,3,24.81,74.42999999999999
2024-01-05,Producto A,12,88.88,1066.56
2024-01-16,Producto A,9,66.05,594.4499999999999
2024-02-03,Producto D,11,31.73,349.03000000000003
2024-01-13,Producto A,3,46.85,140.55
2024-02-06,Producto C,3,67.25,201.75
2024-01-09,Producto B,1,48.85,48.85
2024-04-04,Producto A,18,45.14,812.52
