Fecha,Producto,Cantidad,Precio Unitario,Total
2024-03-15,Producto B,11,92.6,1018.5999999999999
2024-01-24,Producto A,18,84.73,1525.14
2024-02-19,Producto C,18,85.8,1544.3999999999999
2024-03-21,Producto D,11,76.74,844.14
2024-04-02,Producto C,12,23.41,280.92
2024-03-14,Producto D,20,23.75,475.0
2024-01-31,Producto E,5,57.59,287.95000000000005
2024-03-13,Producto E,9,34.64,311.76
2024-01-05,Producto A,13,19.43,252.59
2024-01-10,Producto D,10,97.13,971.3
2024-04-05,Producto D,7,18.06,126.41999999999999
2024-01-25,Producto C,5,48.38,241.9
2024-04-06,Producto B,9,50.73,456.57
2024-04-05,Producto B,2,81.24,162.48
2024-03-06,Producto D,13,60.1,781.3000000000001
2024-01-26,Producto B,2,96.15,192.3
2024-03-02,Producto B,11,85.72,942.92
2024-02-01,Producto D,2,43.66,87.32
2024-03-17,Producto C,11,59.28,652.08
2024-01-15,Producto B,3,44.98,134.94
2024-01-04,Producto E,13,94.81,1232.53
2024-02-20,Producto A,3,14.32,42.96
2024-03-31,Producto B,20,47.5,950.0
2024-01-28,Producto E,17,57.43,976.31
2024-02-25,Producto E,20,15.53,310.59999999999997
2024-02-17,Producto A,2,80.42,160.84
2024-01-13,Producto C,5,11.68,58.4
2024-01-19,Producto D,6,97.1,582.5999999999999
2024-03-17,Producto E,10,35.2,352.0
2024-02-09,Producto C,19,77.83,1478.77
2024-03-20,Producto A,5,40.82,204.1
2024-01-16,Producto A,20,87.56,1751.2
2024-01-20,Producto B,12,38.21,458.52
2024-03-31,Producto E,6,50.58,303.48
2024-02-26,Producto D,11,73.28,806.08
2024-01-27,Producto A,8,24.84,198.72
2024-02-21,Producto B,10,90.69,906.9
2024-02-10,Producto C,1,22.99,22.99
2024-03-31,Producto A,12,41.94,503.28
2024-02-22,Producto B,10,69.95,699.5
2024-03-30,Producto E,15,21.48,322.2
2024-01-29,Producto C,11,85.11,936.21
2024-01-17,Producto C,10,17.75,177.5
2024-02-22,Producto B,1,18.86,18.86
2024-03-11,Producto B,18,47.19,849.42
2024-03-03,Producto A,11,50.26,552.86
2024-02-07,Producto C,17,94.02,1598.34
2024-04-07,Producto E,17,15.91,270.47
2024-03-31,Producto B,12,13.49,161.88
2024-03-18,Producto E,14,25.73,360.22
2024-03-13,Producto D,10,26.94,269.40000000000003
2024-02-13,Producto B,16,90.17,1442.72
2024-02-14,Producto B,5,22.18,110.9
2024-04-09,Producto A,10,12.27,122.69999999999999
2024-02-06,Producto B,17,58.15,988.55
2024-01-12,Producto D,19,88.19,1675.61
2024-01-22,Producto A,15,16.11,241.64999999999998
2024-03-21,Producto B,18,16.93,304.74
2024-02-01,Producto C,20,44.59,891.8000000000001
2024-03-01,Producto C,17,96.67,1643.39
2024-01-09,Producto E,15,70.01,1050.15
2024-04-01,Producto D,16,98.97,1583.52
2024-02-17,Producto B,18,23.42,421.56000000000006
2024-01-22,Producto B,11,22.66,249.26
2024-01-16,Producto C,18,19.37,348.66
2024-03-23,Producto D,19,22.88,434.71999999999997
2024-03-09,Producto B,14,63.83,893.62
2024-02-02,Producto C,1,65.95,65.95
2024-02-01,Producto D,9,28.67,258.03000000000003
2024-01-14,Producto B,7,42.56,297.92
2024-01-14,Producto B,3,68.43,205.29000000000002
2024-01-23,Producto D,15,75.92,1138.8
2024-02-16,Producto E,10,78.99,789.9
2024-03-11,Producto D,10,39.5,395.0
2024-01-18,Producto D,18,97.51,1755.18
2024-03-23,Producto E,12,18.18,218.16
2024-02-15,Producto A,4,91.56,366.24
2024-01-21,Producto C,13,29.78,387.14
2024-03-25,Producto C,10,62.06,620.6
2024-03-31,Producto D,6,33.25,199.5
2024-04-09,Producto D,9,22.02,198.18
2024-03-29,Producto A,3,18.65,55.949999999999996
2024-03-01,Producto D,7,98.69,690.8299999999999
2024-01-03,Producto E,11,14.47,159.17000000000002
2024-02-05,Producto C,12,76.08,912.96
2024-01-24,Producto D,12,71.14,853.6800000000001
2024-04-05,Producto B,7,35.94,251.57999999999998
2024-04-09,Producto B,4,42.44,169.76
2024-02-27,Producto A,15,77.84,1167.6000000000001
2024-04-09,Producto A,2,95.4,190.8
2024-03-27,Producto C,2,21.37,42.74
2024-03-03,Producto C,2,27.55,55.1
2024-03-03,Producto C,6,64.79,388.74
2024-03-07,Producto E,15,45.1,676.5
2024-02-17,Producto C,8,13.69,109.52
2024-04-09,Producto D,16,87.95,1407.2
2024-03-16,Producto A,18,15.33,275.94
2024-03-30,Producto C,10,80.6,806.0
2024-02-03,Producto E,10,48.46,484.6
2024-03-26,Producto B,12,99.01,1188.1200000000001
